tweetRetweetCt,Polarity
4084,0
2907,0
2,0
462,0
8,0
696,0
16330,0
1034,0
82,-1
0,0
186,0
33,1
77,0
6,0
229,0
229,0
55,0
3,-1
2,0
212,0
0,1
0,0
0,-1
2750,0
13188,0
2,0
186,0
11,0
31,0
38,1
1034,0
257,0
589,1
2751,0
9522,0
231,0
0,-1
50,0
1,0
849,1
65614,0
142,0
65614,0
13,0
6085,1
0,1
9020,1
218,0
1034,0
690,0
0,0
66,1
219,0
218,0
2944,1
62,0
58,0
17,0
31,0
17,1
690,0
0,-1
1,0
589,1
13,-1
0,1
462,0
25,-1
203,-1
58,0
13188,0
81,1
17,0
186288,1
0,1
0,1
186,0
24,1
6927,-1
0,0
298,0
186288,1
0,1
1307,0
2751,0
192,0
0,-1
31,0
7,1
0,1
6927,-1
849,1
0,-1
11893,0
0,1
52,-1
3569,0
743,1
1186,0
2751,0
0,0
0,1
1,0
0,0
0,0
203,-1
462,0
36,0
0,0
16330,0
0,0
108,1
10,0
99,1
867,0
341,0
2907,0
2751,0
229,0
358,-1
181,-1
2841,0
142,0
2907,0
163,-1
1034,0
8218,0
3,0
8,0
17,-1
203,-1
96,1
8218,0
5,0
207,0
968,1
134,0
0,0
2751,0
314,0
231,0
1,0
2907,0
40,0
302,-1
2,1
157,1
65615,0
4,0
2907,0
1034,0
381,1
2751,0
6927,-1
203,-1
24,1
158,-1
2907,0
0,0
24,0
55,1
0,1
2751,0
218,0
167,1
0,0
2907,0
0,-1
58,0
472,0
55,1
2,-1
2751,0
4084,0
2751,0
0,-1
0,0
1711,1
1,0
218,0
1,1
189,0
462,0
229,0
0,1
5,1
2907,0
286,0
40,0
0,1
5,0
40,0
1034,0
2751,0
176,-1
171,0
2,-1
0,0
17,0
696,0
140,0
7,0
4084,0
471,1
203,-1
1,1
849,1
118,0
9465,0
867,0
8218,0
57,0
0,1
2907,0
118,0
232,0
17,0
6,-1
9020,1
0,0
33,1
138,1
6,-1
0,-1
2751,0
257,0
0,1
51,0
317,0
17,0
0,0
55,1
1,-1
